,Alexander [R-TN],Baldwin [D-WI],Barrasso [R-WY],Bennet [D-CO],Blackburn [R-TN],Blumenthal [D-CT],Blunt [R-MO],Booker [D-NJ],Boozman [R-AR],Braun [R-IN],Brown [D-OH],Burr [R-NC],Cantwell [D-WA],Capito [R-WV],Cardin [D-MD],Carper [D-DE],Casey [D-PA],Cassidy [R-LA],Collins [R-ME],Coons [D-DE],Cornyn [R-TX],Cortez [D-NV],Cotton [R-AR],Cramer [R-ND],Crapo [R-ID],Cruz [R-TX],Daines [R-MT],Duckworth [D-IL],Durbin [D-IL],Enzi [R-WY],Ernst [R-IA],Feinstein [D-CA],Fischer [R-NE],Gardner [R-CO],Gillibrand [D-NY],Graham [R-SC],Grassley [R-IA],Harris [D-CA],Hassan [D-NH],Hawley [R-MO],Heinrich [D-NM],Hirono [D-HI],Hoeven [R-ND],Hyde-Smith [R-MS],Inhofe [R-OK],Isakson [R-GA],Johnson [R-WI],Jones [D-AL],Kaine [D-VA],Kelly [D-AZ],Kennedy [R-LA],King [I-ME],Klobuchar [D-MN],Lankford [R-OK],Leahy [D-VT],Lee [R-UT],Loeffler [R-GA],Manchin [D-WV],Markey [D-MA],McConnell [R-KY],McSally [R-AZ],Menendez [D-NJ],Merkley [D-OR],Moran [R-KS],Murkowski [R-AK],Murphy [D-CT],Murray [D-WA],Paul [R-KY],Perdue [R-GA],Peters [D-MI],Portman [R-OH],Reed [D-RI],Risch [R-ID],Roberts [R-KS],Romney [R-UT],Rosen [D-NV],Rounds [R-SD],Rubio [R-FL],Sanders [I-VT],Sasse [R-NE],Schatz [D-HI],Schumer [D-NY],Scott [R-FL],Scott [R-SC],Shaheen [D-NH],Shelby [R-AL],Sinema [D-AZ],Smith [D-MN],Stabenow [D-MI],Sullivan [R-AK],Tester [D-MT],Thune [R-SD],Tillis [R-NC],Toomey [R-PA],Udall [D-NM],Van [D-MD],Warner [D-VA],Warren [D-MA],Whitehouse [D-RI],Wicker [R-MS],Wyden [D-OR],Young [R-IN]
Inhofe [R-OK],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Isakson [R-GA],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Johnson [R-WI],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Jones [D-AL],0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Kaine [D-VA],0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kelly [D-AZ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennedy [R-LA],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
King [I-ME],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
Klobuchar [D-MN],0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,3,0,0
Lankford [R-OK],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
